word,ipa,phonetic
strategist, ˈstræt ɪ dʒɪst ,STRAT-i-jist
strategize, ˈstræt ɪˌdʒaɪz ,STRAT-i-jahyz
strategy, ˈstræt ɪ dʒi ,STRAT-i-jee
stratford, ˈstræt fərd ,STRAT-ferd
strathclyde, stræθˈklaɪd ,strath-KLAHYD
stratification, ˌstræt ə fɪˈkeɪ ʃən ,strat-uh-fi-KEY-shuhn
stratify, ˈstræt əˌfaɪ ,STRAT-uh-fahy
stratigraphy, strəˈtɪg rə fi ,struh-TIG-ruh-fee
stratosphere, ˈstræt əˌsfɪər ,STRAT-uh-sfeer
stratton, ˈstræt n ,STRAT-n
stratum," ˈstreɪ təm, ˈstræt əm ","STREY-tuhm,STRAT-uhm"
straus," straʊs, ʃtraʊs ","strous, shtrous"
strauss," straʊs, ʃtraʊs ","strous, shtrous"
stravinsky," strəˈvɪn ski, strʌˈvyin skyi ","struh-VIN-skee, struh-VYEEN-skyee"
straw, strɔ ,straw
strawberry," ˈstrɔˌbɛr i, -bə ri ","STRAW-ber-ee, -buh-ree"
stray, streɪ ,strey
strays, streɪz ,
streak, strik ,streek
streaking, ˈstriːkɪŋ ,
stream, strim ,streem
streambed, ˈstrimˌbɛd ,STREEM-bed
streamer, ˈstri mər ,STREE-mer
streaming, ˈstri mɪŋ ,STREE-ming
streamline, ˈstrimˌlaɪn ,STREEM-lahyn
streamlined, ˈstrimˌlaɪnd ,STREEM-lahynd
streamside, ˈstrimˌsaɪd ,STREEM-sahyd
streep, striːp ,
street, strit ,street
streetcar, ˈstritˌkɑr ,STREET-kahr
streetlight, ˈstritˌlaɪt ,STREET-lahyt
streetscape, ˈstritˌskeɪp ,STREET-skeyp
streetwear, ˈstritˌwɛər ,STREET-wair
streetwise, ˈstritˌwaɪz ,STREET-wahyz
streisand, ˈstraɪsænd ,
strength," strɛŋkθ, strɛŋθ, strɛnθ ","strengkth, strength, strenth"
strengthen," ˈstrɛŋk θən, ˈstrɛŋ-, ˈstrɛn- ","STRENGK-thuhn,STRENG-,STREN-"
strenuous, ˈstrɛn yu əs ,STREN-yoo-uhs
strep, strɛp ,strep
streptococcus, ˌstrɛp təˈkɒk əs ,strep-tuh-KOK-uhs
stresemann, ˈʃtreɪ zəˌmɑn ,SHTREY-zuh-mahn
stress, strɛs ,stres
stressful, ˈstrɛs fəl ,STRES-fuhl
stretch, strɛtʃ ,strech
stretcher, ˈstrɛtʃ ər ,STRECH-er
stretchy, ˈstrɛtʃ i ,STRECH-ee
stretford, ˈstrɛtfəd ,
streusel," ˈʃtrɔɪ zəl, ˈstru zəl, ˈstrɔɪ- ","SHTROI-zuhl,STROO-zuhl,STROI-"
strew, stru ,stroo
strewn, strun ,stroon
striate," ˈstraɪ eɪt, ˈstraɪ ɪt, -eɪt ","STRAHY-eyt,STRAHY-it, -eyt"
striated, ˈstraɪ eɪ tɪd ,STRAHY-ey-tid
strick, strɪk ,strik
stricken, ˈstrɪk ən ,STRIK-uhn
strickland, ˈstrɪk lənd ,STRIK-luhnd
strict, strɪkt ,strikt
strictly, ˈstrɪkt li ,STRIKT-lee
stricture, ˈstrɪk tʃər ,STRIK-cher
stride, straɪd ,strahyd
strident, ˈstraɪd nt ,STRAHYD-nt
strider, ˈstraɪ dər ,STRAHY-der
strife, straɪf ,strahyf
strike, straɪk ,strahyk
strikebreaker, ˈstraɪkˌbreɪ kər ,STRAHYK-brey-ker
strikeout, ˈstraɪkˌaʊt ,STRAHYK-out
striker, ˈstraɪ kər ,STRAHY-ker
striking, ˈstraɪ kɪŋ ,STRAHY-king
strikingly, ˈstraɪ kɪŋ li ,STRAHY-king-lee
strindberg," ˈstrɪnd bɜrg, ˈstrɪn-, ˈstrɪnˌbær yə ","STRIND-burg,STRIN-,STRIN-bar-yuh"
strine, straɪn ,strahyn
string, strɪŋ ,string
stringed, strɪŋd ,stringd
stringency, ˈstrɪn dʒən si ,STRIN-juhn-see
stringent, ˈstrɪn dʒənt ,STRIN-juhnt
stringer, ˈstrɪŋ ər ,STRING-er
stringing, ˈstrɪŋ ɪŋ ,STRING-ing
stringy, ˈstrɪŋ i ,STRING-ee
strip, strɪp ,strip
stripe, straɪp ,strahyp
striped," straɪpt, ˈstraɪ pɪd ","strahypt,STRAHY-pid"
stripling, ˈstrɪp lɪŋ ,STRIP-ling
stripped, strɪpt ,stript
strive, straɪv ,strahyv
striving, ˈstraɪ vɪŋ ,STRAHY-ving
strobe, stroʊb ,strohb
strode, stroʊd ,strohd
stroganoff," ˈstrɔ gəˌnɔf, ˈstroʊ- ","STRAW-guh-nawf,STROH-"
stroheim, ˈstroʊ haɪm ,STROH-hahym
stroke, stroʊk ,strohk
stroll, stroʊl ,strohl
stroller, ˈstroʊ lər ,STROH-ler
stromboli," ˈstrɒm bə li, ˈstrɔm bɔ li ","STROM-buh-lee,STRAWM-baw-lee"
strong," strɔŋ, strɒŋ ","strawng, strong"
stronghold," ˈstrɔŋˌhoʊld, ˈstrɒŋ- ","STRAWNG-hohld,STRONG-"
strongly," ˈstrɔŋ li, ˈstrɒŋ‐ ","STRAWNG-lee,STRONG‐"
strongman," ˈstrɔŋˌmæn, ˈstrɒŋ- ","STRAWNG-man,STRONG-"
strontium," ˈstrɒn ʃi əm, -ʃəm, -ti əm ","STRON-shee-uhm, -shuhm, -tee-uhm"
strove, stroʊv ,strohv
strozzi, ˈstrɔt tsi ,STRAWT-tsee
struck, strʌk ,struhk
structural, ˈstrʌk tʃər əl ,STRUHK-cher-uhl
structuralism, ˈstrʌk tʃər əˌlɪz əm ,STRUHK-cher-uh-liz-uhm
structure, ˈstrʌk tʃər ,STRUHK-cher
structured, ˈstrʌk tʃərd ,STRUHK-cherd
struggle, ˈstrʌg əl ,STRUHG-uhl
strum, strʌm ,struhm
strung, strʌŋ ,struhng
strut, strʌt ,struht
struthers, ˈstrʌð ərz ,STRUHTH-erz
strutting, ˈstrʌt ɪŋ ,STRUHT-ing
strychnine," ˈstrɪk nɪn, -nin, -naɪn ","STRIK-nin, -neen, -nahyn"
stu," stu, styu ","stoo, styoo"
stuart," ˈstu ərt, ˈstyu- ","STOO-ert,STYOO-"
stub, stʌb ,stuhb
stubbed," ˈstʌb ɪd, stʌbd ","STUHB-id, stuhbd"
stubble, ˈstʌb əl ,STUHB-uhl
stubbled, ˈstʌbəld ,
stubborn, ˈstʌb ərn ,STUHB-ern
stubbs, stʌbz ,stuhbz
stubby, ˈstʌb i ,STUHB-ee
stucco, ˈstʌk oʊ ,STUHK-oh
stuck, stʌk ,stuhk
stud, stʌd ,stuhd
studebaker," ˈstu dəˌbeɪ kər, ˈstyu- ","STOO-duh-bey-ker,STYOO-"
student," ˈstud nt, ˈstyud- ","STOOD-nt,STYOOD-"
studied, ˈstʌd id ,STUHD-eed
studio," ˈstu diˌoʊ, ˈstyu- ","STOO-dee-oh,STYOO-"
studious," ˈstu di əs, ˈstyu- ","STOO-dee-uhs,STYOO-"
study, ˈstʌd i ,STUHD-ee
stuff, stʌf ,stuhf
stuffed, stʌft ,
stuffing, ˈstʌf ɪŋ ,STUHF-ing
stuffy, ˈstʌf i ,STUHF-ee
stull, stʌl ,stuhl
stultify, ˈstʌl təˌfaɪ ,STUHL-tuh-fahy
stumble, ˈstʌm bəl ,STUHM-buhl
stump, stʌmp ,stuhmp
stumped, stʌmpt ,stuhmpt
stumpy, ˈstʌm pi ,STUHM-pee
stun, stʌn ,stuhn
stung, stʌŋ ,stuhng
stunk, stʌŋk ,stuhngk
stunned, stʌnd ,stuhnd
stunner, ˈstʌn ər ,STUHN-er
stunning, ˈstʌn ɪŋ ,STUHN-ing
stunt, stʌnt ,stuhnt
stunted, ˈstʌn tɪd ,STUHN-tid
stupa, ˈstu pə ,STOO-puh
stupefaction," ˌstu pəˈfæk ʃən, ˌstyu- ","stoo-puh-FAK-shuhn, styoo-"
stupefy," ˈstu pəˌfaɪ, ˈstyu- ","STOO-puh-fahy,STYOO-"
stupendous," stuˈpɛn dəs, styu- ","stoo-PEN-duhs, styoo-"
stupendously, stuˈpɛnd əs li ,stoo-PEND-uhs-lee
stupid," ˈstu pɪd, ˈstyu‑ ","STOO-pid,STYOO‑"
stupidity," stuˈpɪd ɪ ti, styu- ","stoo-PID-i-tee, styoo-"
stupor," ˈstu pər, ˈstyu- ","STOO-per,STYOO-"
sturdy, ˈstɜr di ,STUR-dee
sturgeon, ˈstɜr dʒən ,STUR-juhn
sturges, ˈstɜr dʒɪs ,STUR-jis
sturgis, ˈstɜr dʒɪs ,STUR-jis
sturt, stɜrt ,sturt
stutter, ˈstʌt ər ,STUHT-er
stuttgart," ˈstʌt gɑrt, ˈstʊt-, ˈʃtʊt gɑrt ","STUHT-gahrt,STOOT-,SHTOOT-gahrt"
stuyvesant, ˈstaɪ və sənt ,STAHY-vuh-suhnt
stygian, ˈstɪdʒ i ən ,STIJ-ee-uhn
style, staɪl ,stahyl
stylebook, ˈstaɪlˌbʊk ,STAHYL-book
stylish, ˈstaɪ lɪʃ ,STAHY-lish
stylist, ˈstaɪ lɪst ,STAHY-list
stylistic, staɪˈlɪs tɪk ,stahy-LIS-tik
stylus, ˈstaɪ ləs ,STAHY-luhs
stymie, ˈstaɪ mi ,STAHY-mee
stymied, ˈstaɪ mid ,STAHY-meed
stymy, ˈstaɪ mi ,STAHY-mee
styrene," ˈstaɪ rin, ˈstɪər in ","STAHY-reen,STEER-een"
styria, ˈstɪər i ə ,STEER-ee-uh
styrofoam, ˈstaɪ rəˌfoʊm ,STAHY-ruh-fohm
styx, stɪks ,stiks
suarez," ˈswɑr ɛz, ˈswɑ rɛθ, -rɛs ","SWAHR-ez,SWAH-reth, -res"
suave, swɑv ,swahv
suavity," ˈswɑ vɪ ti, ˈswæv ɪ- ","SWAH-vi-tee,SWAV-i-"
sub, sʌb ,suhb
subaltern," sʌbˈɔl tərn, ˈsʌb əlˌtɜrn ","suhb-AWL-tern,SUHB-uhl-turn"
subarctic," sʌbˈɑrk tɪk, -ˈɑr tɪk ","suhb-AHRK-tik, -AHR-tik"
subatomic, ˌsʌb əˈtɒm ɪk ,suhb-uh-TOM-ik
subbing, ˈsʌb ɪŋ ,SUHB-ing
subcellular, sʌbˈsɛl yə lər ,suhb-SEL-yuh-ler
subcommission, ˈsʌbkəˌmɪʃən ,
subcommittee, ˈsʌb kəˌmɪt i ,SUHB-kuh-mit-ee
subconscious, sʌbˈkɒn ʃəs ,suhb-KON-shuhs
subconsciously, sʌbˈkɒn ʃəs li ,suhb-KON-shuhs-lee
subcontinent," sʌbˈkɒn tn ənt, ˈsʌbˌkɒn- ","suhb-KON-tn-uhnt,SUHB-kon-"
subcontractor," sʌbˈkɒn træk tər, ˈsʌbˌkɒn-, ˌsʌb kənˈtræk tər ","suhb-KON-trak-ter,SUHB-kon-, suhb-kuhn-TRAK-ter"
subculture," sʌbˈkʌl tʃər, ˈsʌbˌkʌl tʃər ","suhb-KUHL-cher,SUHB-kuhl-cher"
subcutaneous, ˌsʌb kyuˈteɪ ni əs ,suhb-kyoo-TEY-nee-uhs
subdivision, ˈsʌb dɪˌvɪʒ ən ,SUHB-di-vizh-uhn
subduction, səbˈdʌk ʃən ,suhb-DUHK-shuhn
subdue," səbˈdu, -ˈdyu ","suhb-DOO, -DYOO"
subdued," səbˈdud, -ˈdyud ","suhb-DOOD, -DYOOD"
subequatorial," ˌsʌb i kwəˈtɔr i əl, -ˈtoʊr-, -ɛk wə- ","suhb-ee-kwuh-TAWR-ee-uhl, -TOHR-, -ek-wuh-"
subfield, ˈsʌbˌfild ,SUHB-feeld
subfreezing, ˈsʌbˈfri zɪŋ ,SUHB-FREE-zing
subgenre," ˈsʌbˌʒɑn rə, -ˌʒɑ̃ rə ","SUHB-zhahn-ruh, -zhahn-ruh"
subhead, ˈsʌbˌhɛd ,SUHB-hed
subhuman," sʌbˈhyu mən, -ˈyu- ","suhb-HYOO-muhn, -YOO-"
subindex, sʌbˈɪn dɛks ,suhb-IN-deks
subject," ˈsʌb dʒɪkt, səbˈdʒɛkt ","SUHB-jikt, suhb-JEKT"
subjected, səbˈdʒɛk tɪd ,suhb-JEK-tid
subjection, səbˈdʒɛk ʃən ,suhb-JEK-shuhn
subjective, səbˈdʒɛk tɪv ,suhb-JEK-tiv
subjectivity, ˌsʌb dʒɛkˈtɪv ɪ ti ,suhb-jek-TIV-i-tee
subjugate, ˈsʌb dʒəˌgeɪt ,SUHB-juh-geyt
subjugation, ˌsʌb dʒəˈgeɪ ʃən ,suhb-juh-GEY-shuhn
subjunctive, səbˈdʒʌŋk tɪv ,suhb-JUHNGK-tiv
sublimate," ˈsʌb ləˌmeɪt, ˈsʌb lə mɪt, -ˌmeɪt ","SUHB-luh-meyt,SUHB-luh-mit, -meyt"
sublimation, ˌsʌb ləˈmeɪ ʃən ,suhb-luh-MEY-shuhn
sublime, səˈblaɪm ,suh-BLAHYM
subliminal, sʌbˈlɪm ə nl ,suhb-LIM-uh-nl
subliminally, sʌbˈlɪm ən ə li ,suhb-LIM-uhn-uh-lee
sublimity, səˈblɪm ɪ ti ,suh-BLIM-i-tee
sublunary," ˈsʌb lʊˌnɛr i, sʌbˈlu nə ri ","SUHB-loo-ner-ee, suhb-LOO-nuh-ree"
submarine," ˌsʌb məˈrin, ˈsʌb məˌrin, ˌsʌb məˈrin ","suhb-muh-REEN,SUHB-muh-reen, suhb-muh-REEN"
submerge, səbˈmɜrdʒ ,suhb-MURJ
submerged, səbˈmɜrdʒd ,suhb-MURJD
submersible, səbˈmɜr sə bəl ,suhb-MUR-suh-buhl
submersion," səbˈmɜr ʒən, -ʃən ","suhb-MUR-zhuhn, -shuhn"
submission, səbˈmɪʃ ən ,suhb-MISH-uhn
submissive, səbˈmɪs ɪv ,suhb-MIS-iv
submit, səbˈmɪt ,suhb-MIT
submitted, səbˈmɪt ɪd ,suhb-MIT-id
submucosa," ˌsʌb myuˈkoʊ sə, -zə ","suhb-myoo-KOH-suh, -zuh"
suboptimal, sʌbˈɒp tə məl ,suhb-OP-tuh-muhl
subordinate," səˈbɔr dn ɪt, səˈbɔr dnˌeɪt ","suh-BAWR-dn-it, suh-BAWR-dn-eyt"
subordinated, səˈbɔr dnˌeɪ tɪd ,suh-BAWR-dn-ey-tid
subordination, səˌbɔr dnˈeɪ ʃən ,suh-bawr-dn-EY-shuhn
suborn, səˈbɔrn ,suh-BAWRN
subpar, sʌbˈpɑr ,suhb-PAHR
subplot, ˈsʌbˌplɒt ,SUHB-plot
subpoena," səˈpi nə, səb- ","suh-PEE-nuh, suhb-"
subpoenaed," səˈpi nəd, səb- ","suh-PEE-nuhd, suhb-"
subprime, sʌbˈpraɪm ,suhb-PRAHYM
subscribe, səbˈskraɪb ,suhb-SKRAHYB
subscriber, səbˈskraɪ bər ,suhb-SKRAHY-ber
subscript, ˈsʌb skrɪpt ,SUHB-skript
subscription, səbˈskrɪp ʃən ,suhb-SKRIP-shuhn
subsea," sʌbˈsi, ˈsʌbˌsi ","suhb-SEE,SUHB-see"
subsection," sʌbˈsɛk ʃən, ˈsʌbˌsɛk- ","suhb-SEK-shuhn,SUHB-sek-"
subsequent, ˈsʌb sɪ kwənt ,SUHB-si-kwuhnt
subsequently, ˈsʌb sɪ kwənt li ,SUHB-si-kwuhnt-lee
subservience, səbˈsɜr vi əns ,suhb-SUR-vee-uhns
subservient, səbˈsɜr vi ənt ,suhb-SUR-vee-uhnt
subset, ˈsʌbˌsɛt ,SUHB-set
subshell, ˈsʌbˌʃɛl ,SUHB-shel
subside, səbˈsaɪd ,suhb-SAHYD
subsidence," səbˈsaɪdəns, ˈsʌbsɪdəns ",
subsidiary, səbˈsɪd iˌɛr i ,suhb-SID-ee-er-ee
subsidize, ˈsʌb sɪˌdaɪz ,SUHB-si-dahyz
subsidized, ˈsʌb sɪˌdaɪzd ,SUHB-si-dahyzd
subsidy, ˈsʌb sɪ di ,SUHB-si-dee
subsist, səbˈsɪst ,suhb-SIST
subsistence, səbˈsɪs təns ,suhb-SIS-tuhns
subsoil, ˈsʌbˌsɔɪl ,SUHB-soil
subsonic, sʌbˈsɒn ɪk ,suhb-SON-ik
subspecies," ˈsʌbˌspi ʃiz, sʌbˈspi- ","SUHB-spee-sheez, suhb-SPEE-"
substance, ˈsʌb stəns ,SUHB-stuhns
substandard, sʌbˈstæn dərd ,suhb-STAN-derd
substantial, səbˈstæn ʃəl ,suhb-STAN-shuhl
substantially, səbˈstæn ʃə li ,suhb-STAN-shuh-lee
substantiate, səbˈstæn ʃiˌeɪt ,suhb-STAN-shee-eyt
substantiated, səbˈstæn ʃiˌeɪ tɪd ,suhb-STAN-shee-ey-tid
substantiation, səbˌstæn ʃiˈeɪ ʃən ,suhb-stan-shee-EY-shuhn
substantive, ˈsʌb stən tɪv ,SUHB-stuhn-tiv
substantively, ˈsʌb stən tɪv li ,SUHB-stuhn-tiv-lee
substitute," ˈsʌb stɪˌtut, -ˌtyut ","SUHB-sti-toot, -tyoot"
substitution, ˌsʌbstɪˈtjuːʃən ,
substrate, ˈsʌb streɪt ,SUHB-streyt
substratum," ˈsʌbˌstreɪ təm, -ˌstræt əm, sʌbˈstreɪ təm, -ˈstræt əm ","SUHB-strey-tuhm, -strat-uhm, suhb-STREY-tuhm, -STRAT-uhm"
subsume, səbˈsum ,suhb-SOOM
subsumed, səbˈsumd ,suhb-SOOMD
subsurface," sʌbˈsɜr fəs, ˈsʌbˌsɜr- ","suhb-SUR-fuhs,SUHB-sur-"
subtend," səbˈtɛnd, sʌb- ","suhb-TEND, suhb-"
subterfuge, ˈsʌb tərˌfyudʒ ,SUHB-ter-fyooj
subterranean, ˌsʌb təˈreɪ ni ən ,suhb-tuh-REY-nee-uhn
subtext, ˈsʌbˌtɛkst ,SUHB-tekst
subtitle, ˈsʌbˌtaɪt l ,SUHB-tahyt-l
subtle, ˈsʌt l ,SUHT-l
subtlety, ˈsʌt l ti ,SUHT-l-tee
subtly," ˈsʌt l li, ˈsʌt li ","SUHT-l-lee,SUHT-lee"
subtract, səbˈtrækt ,suhb-TRAKT
subtraction, səbˈtræk ʃən ,suhb-TRAK-shuhn
subtractive, səbˈtræk tɪv ,suhb-TRAK-tiv
subtropical, sʌbˈtrɒp ɪ kəl ,suhb-TROP-i-kuhl
subtype, ˈsʌbˌtaɪp ,SUHB-tahyp
subunit, sʌbˈjunɪt ,
suburb, ˈsʌb ɜrb ,SUHB-urb
suburban, səˈbɜr bən ,suh-BUR-buhn
suburbanite, səˈbɜr bəˌnaɪt ,suh-BUR-buh-nahyt
suburbia, səˈbɜr bi ə ,suh-BUR-bee-uh
subvariant, ˈsʌbˌvɛər i ənt ,SUHB-vair-ee-uhnt
subversion," səbˈvɜr ʒən, -ʃən ","suhb-VUR-zhuhn, -shuhn"
subversive, səbˈvɜr sɪv ,suhb-VUR-siv
subvert, səbˈvɜrt ,suhb-VURT
subway, ˈsʌbˌweɪ ,SUHB-wey
subzero, sʌbˈzɪərəʊ ,
succeed, səkˈsid ,suhk-SEED
succeeded, səkˈsi dɪd ,suhk-SEE-did
succeeding, səkˈsi dɪŋ ,suhk-SEE-ding
success, səkˈsɛs ,suhk-SES
successful, səkˈsɛs fəl ,suhk-SES-fuhl
succession, səkˈsɛʃ ən ,suhk-SESH-uhn
successive, səkˈsɛs ɪv ,suhk-SES-iv
successively, səkˈsɛs ɪv li ,suhk-SES-iv-lee
successor, səkˈsɛs ər ,suhk-SES-er
succinate, ˈsʌk səˌneɪt ,SUHK-suh-neyt
succinct, səkˈsɪŋkt ,suhk-SINGKT
succinctly, səkˈsɪŋkt li ,suhk-SINGKT-lee
succinic, səkˈsɪn ɪk ,suhk-SIN-ik
succor, ˈsʌk ər ,SUHK-er
succour, ˈsʌkə ,
succulent, ˈsʌk yə lənt ,SUHK-yuh-luhnt
succumb, səˈkʌm ,suh-KUHM
such, sʌtʃ ,suhch
suchlike, ˈsʌtʃˌlaɪk ,SUHCH-lahyk
suck, sʌk ,suhk
sucker, ˈsʌk ər ,SUHK-er
suckerfish, ˈsʌk ərˌfɪʃ ,SUHK-er-fish
sucking, ˈsʌk ɪŋ ,SUHK-ing
suckling, ˈsʌk lɪŋ ,SUHK-ling
sucks, sʌks ,
sucrose, ˈsu kroʊs ,SOO-krohs
suction, ˈsʌk ʃən ,SUHK-shuhn
sudan, suˈdæn ,soo-DAN
sudanese," ˌsud nˈiz, -ˈis ","sood-n-EEZ, -EES"
sudden, ˈsʌd n ,SUHD-n
suddenly, ˈsʌdənlɪ ,
sudeten," suˈdeɪt n, zuˈdeɪt n ","soo-DEYT-n, zoo-DEYT-n"
sudetenland," suˈdeɪt nˌlænd, zuˈdeɪt nˌlɑnt ","soo-DEYT-n-land, zoo-DEYT-n-lahnt"
suds, sʌdz ,suhdz
sudsy, ˈsʌd zi ,SUHD-zee
sue, su ,soo
suede, sweɪd ,sweyd
suerte, ˈswɛr teɪ ,SWER-tay
suez," suˈɛz, ˈsu ɛz ","soo-EZ,SOO-ez"
suffer, ˈsʌf ər ,SUHF-er
sufferable," ˈsʌfərəbəl, ˈsʌfrə- ",
sufferance," ˈsʌf ər əns, ˈsʌf rəns ","SUHF-er-uhns,SUHF-ruhns"
suffering," ˈsʌf ər ɪŋ, ˈsʌf rɪŋ ","SUHF-er-ing,SUHF-ring"
suffice," səˈfaɪs, -ˈfaɪz ","suh-FAHYS, -FAHYZ"
sufficiency, səˈfɪʃ ən si ,suh-FISH-uhn-see
sufficient, səˈfɪʃ ənt ,suh-FISH-uhnt
suffix," ˈsʌf ɪks, ˈsʌf ɪks, səˈfɪks ","SUHF-iks,SUHF-iks, suh-FIKS"
suffocate, ˈsʌf əˌkeɪt ,SUHF-uh-keyt
suffocation, ˌsʌf əˈkeɪ ʃən ,suhf-uh-KEY-shuhn
suffolk, ˈsʌf ək ,SUHF-uhk
suffragan, ˈsʌf rə gən ,SUHF-ruh-guhn
suffrage, ˈsʌf rɪdʒ ,SUHF-rij
suffragette, ˌsʌf rəˈdʒɛt ,suhf-ruh-JET
suffragist, ˈsʌf rə dʒɪst ,SUHF-ruh-jist
suffuse, səˈfyuz ,suh-FYOOZ
sufi, ˈsu fi ,SOO-fee
sufism, ˈsu fɪz əm ,SOO-fiz-uhm
sugar, ˈʃʊg ər ,SHOOG-er
sugarbush, ˈʃʊg ərˌbʊʃ ,SHOOG-er-boosh
sugarcane, ˈʃʊg ərˌkeɪn ,SHOOG-er-keyn
sugarcoat, ˈʃʊg ərˌkoʊt ,SHOOG-er-koht
sugared, ˈʃʊg ərd ,SHOOG-erd
sugarhouse, ˈʃʊg ərˌhaʊs ,SHOOG-er-hous
sugarloaf, ˈʃʊg ərˌloʊf ,SHOOG-er-lohf
sugary, ˈʃʊg ə ri ,SHOOG-uh-ree
suggest," səgˈdʒɛst, sə- ","suhg-JEST, suh-"
suggestible," səgˈdʒɛs tə bəl, sə- ","suhg-JES-tuh-buhl, suh-"
suggestion," səgˈdʒɛs tʃən, sə- ","suhg-JES-chuhn, suh-"
suggestive," səgˈdʒɛs tɪv, sə- ","suhg-JES-tiv, suh-"
suharto, suˈhɑr toʊ ,soo-HAHR-toh
sui, swi ,swee
suicidal, ˌsu əˈsaɪd l ,soo-uh-SAHYD-l
suicide, ˈsu əˌsaɪd ,SOO-uh-sahyd
suisse, swis ,swees
suit, sut ,soot
suitability, ˌsu təˈbɪl ɪ ti ,soo-tuh-BIL-i-tee
suitable, ˈsu tə bəl ,SOO-tuh-buhl
suitcase, ˈsutˌkeɪs ,SOOT-keys
suite," swit, sut ","sweet, soot"
suited, ˈsu tɪd ,SOO-tid
suiter," ˈsjuːtə, ˈsuːtə ",
suiting, ˈsu tɪŋ ,SOO-ting
suitor, ˈsu tər ,SOO-ter
suk, suk ,sook
sukarno, suˈkɑr noʊ ,soo-KAHR-noh
sulawesi, ˌsu lɑˈweɪ si ,soo-lah-WEY-see
sulcate, ˈsʌl keɪt ,SUHL-keyt
sulcus, ˈsʌl kəs ,SUHL-kuhs
sulfanilamide," ˌsʌl fəˈnɪl əˌmaɪd, -mɪd ","suhl-fuh-NIL-uh-mahyd, -mid"
sulfate, ˈsʌl feɪt ,SUHL-feyt
sulfide," ˈsʌl faɪd, -fɪd ","SUHL-fahyd, -fid"
sulfur, ˈsʌl fər ,SUHL-fer
sulfuric, sʌlˈfyʊər ɪk ,suhl-FYOOR-ik
sulfurous," sʌlˈfyʊər əs, ˈsʌl fər- ","suhl-FYOOR-uhs,SUHL-fer-"
sulk, sʌlk ,suhlk
sulky, ˈsʌl ki ,SUHL-kee
sulla, ˈsʌl ə ,SUHL-uh
sullen, ˈsʌl ən ,SUHL-uhn
sullenly, ˈsʌl ən li ,SUHL-uhn-lee
sullied, ˈsʌl id ,SUHL-eed
sullivan, ˈsʌl ə vən ,SUHL-uh-vuhn
sully, ˈsʌl i ,SUHL-ee
sulphate, ˈsʌlfeɪt ,
sulphur, ˈsʌl fər ,SUHL-fer
sulphureous, sʌlˈfjʊərɪəs ,
sulphurous," ˈsʌl fər əs, sʌlˈfyʊər əs ","SUHL-fer-uhs, suhl-FYOOR-uhs"
sultan, ˈsʌl tn ,SUHL-tn
sultry, ˈsʌl tri ,SUHL-tree
sulu, ˈsu lu ,SOO-loo
sum, sʌm ,suhm
sumac," ˈsu mæk, ˈʃu- ","SOO-mak,SHOO-"
sumer, ˈsu mər ,SOO-mer
sumerian," suˈmɪər i ən, -ˈmɛr- ","soo-MEER-ee-uhn, -MER-"
summa," ˈsʊm ə, ˈsʌm ə ","SOOM-uh,SUHM-uh"
summarily," səˈmɛər ə li, ˈsʌm ər ə- ","suh-MAIR-uh-lee,SUHM-er-uh-"
summarization, ˌsʌm ə raɪˈzeɪ ʃən ,suhm-uh-rahy-ZEY-shuhn
summarize, ˈsʌm əˌraɪz ,SUHM-uh-rahyz
summary, ˈsʌm ə ri ,SUHM-uh-ree
summation, səˈmeɪ ʃən ,suh-MEY-shuhn
summer, ˈsʌm ər ,SUHM-er
summertime, ˈsʌm ərˌtaɪm ,SUHM-er-tahym
summit, ˈsʌm ɪt ,SUHM-it
summon, ˈsʌm ən ,SUHM-uhn
summoned, ˈsʌm ənd ,SUHM-uhnd
summons, ˈsʌm ənz ,SUHM-uhnz
sumner, ˈsʌm nər ,SUHM-ner
sumo, ˈsu moʊ ,SOO-moh
sumpter, ˈsʌmp tər ,SUHMP-ter
sumptuous, ˈsʌmp tʃu əs ,SUHMP-choo-uhs
sumter," ˈsʌm tər, ˈsʌmp- ","SUHM-ter,SUHMP-"
sun, sʌn ,suhn
sunbaked, ˈsʌnˌbeɪkt ,SUHN-beykt
sunbeam, ˈsʌnˌbim ,SUHN-beem
sunbed, ˈsʌnˌbɛd ,SUHN-bed
sunbird, ˈsʌnˌbɜrd ,SUHN-burd
sunburn, ˈsʌnˌbɜrn ,SUHN-burn
sunburst, ˈsʌnˌbɜrst ,SUHN-burst
sunchoke, ˈsʌnˌtʃoʊk ,SUHN-chohk
sundae," ˈsʌn deɪ, -di ","SUHN-dey, -dee"
sunday," ˈsʌn deɪ, -di ","SUHN-dey, -dee"
sundays," ˈsʌn deɪz, -diz ","SUHN-deyz, -deez"
sunder, ˈsʌn dər ,SUHN-der
sunderland, ˈsʌn dər lənd ,SUHN-der-luhnd
sundew," ˈsʌnˌdu, -ˌdyu ","SUHN-doo, -dyoo"
sundial," ˈsʌnˌdaɪ əl, -ˌdaɪl ","SUHN-dahy-uhl, -dahyl"
sundown, ˈsʌnˌdaʊn ,SUHN-doun
sundowner, ˈsʌnˌdaʊ nər ,SUHN-dou-ner
sundress, ˈsʌnˌdrɛs ,SUHN-dres
sundry, ˈsʌn dri ,SUHN-dree
sunfish, ˈsʌnˌfɪʃ ,SUHN-fish
